K,frac,alpha,algo,dp_sigma,rounds,local_epochs,seeds,acc_mean,acc_std
10,1.0,iid,fedavg,0.0,50,1,2,0.7701822916666667,0.0006510416666666852
10,1.0,iid,fedavg,0.01,50,1,2,0.775390625,0.0032552083333333703
10,1.0,iid,fedavg,0.05,50,1,2,0.775390625,0.001953125
10,1.0,iid,fedavg,0.1,50,1,2,0.7766927083333334,0.001953125
10,1.0,iid,fedprox,0.0,50,1,2,0.7701822916666667,0.0006510416666666852
10,1.0,iid,fedprox,0.01,50,1,2,0.775390625,0.0032552083333333703
10,1.0,iid,fedprox,0.05,50,1,2,0.775390625,0.001953125
10,1.0,iid,fedprox,0.1,50,1,2,0.77734375,0.0013020833333333703
10,1.0,iid,fedavgm,0.0,50,1,2,0.7727864583333333,0.0006510416666666852
10,1.0,iid,fedavgm,0.01,50,1,2,0.7734375,0.0013020833333333703
10,1.0,iid,fedavgm,0.05,50,1,2,0.7766927083333334,0.001953125
10,1.0,iid,fedavgm,0.1,50,1,2,0.775390625,0.0032552083333333703
10,1.0,iid,fedadam,0.0,50,1,2,0.7760416666666667,0.0013020833333333148
10,1.0,iid,fedadam,0.01,50,1,2,0.775390625,0.005859375
10,1.0,iid,fedadam,0.05,50,1,2,0.7506510416666666,0.009765625
10,1.0,iid,fedadam,0.1,50,1,2,0.6979166666666667,0.016927083333333315
10,1.0,0.3,fedavg,0.0,50,1,2,0.7669270833333333,0.002604166666666685
10,1.0,0.3,fedavg,0.01,50,1,2,0.7682291666666667,0.005208333333333315
10,1.0,0.3,fedavg,0.05,50,1,2,0.767578125,0.0032552083333333703
10,1.0,0.3,fedavg,0.1,50,1,2,0.7662760416666667,0.003255208333333315
10,1.0,0.3,fedprox,0.0,50,1,2,0.7662760416666667,0.003255208333333315
10,1.0,0.3,fedprox,0.01,50,1,2,0.7682291666666667,0.005208333333333315
10,1.0,0.3,fedprox,0.05,50,1,2,0.7669270833333333,0.002604166666666685
10,1.0,0.3,fedprox,0.1,50,1,2,0.7662760416666667,0.003255208333333315
10,1.0,0.3,fedavgm,0.0,50,1,2,0.7708333333333334,0.0
10,1.0,0.3,fedavgm,0.01,50,1,2,0.7701822916666667,0.0006510416666666852
10,1.0,0.3,fedavgm,0.05,50,1,2,0.765625,0.00390625
10,1.0,0.3,fedavgm,0.1,50,1,2,0.7688802083333334,0.001953125
10,1.0,0.3,fedadam,0.0,50,1,2,0.7688802083333333,0.004557291666666685
10,1.0,0.3,fedadam,0.01,50,1,2,0.7688802083333333,0.0006510416666666852
10,1.0,0.3,fedadam,0.05,50,1,2,0.7415364583333334,0.001953125
10,1.0,0.3,fedadam,0.1,50,1,2,0.7083333333333334,0.00390625
10,0.5,iid,fedavg,0.0,50,1,2,0.775390625,0.001953125
10,0.5,iid,fedavg,0.01,50,1,2,0.7740885416666667,0.0006510416666666852
10,0.5,iid,fedavg,0.05,50,1,2,0.7786458333333334,0.00390625
10,0.5,iid,fedavg,0.1,50,1,2,0.7779947916666667,0.004557291666666685
10,0.5,iid,fedprox,0.0,50,1,2,0.775390625,0.001953125
10,0.5,iid,fedprox,0.01,50,1,2,0.7740885416666667,0.0006510416666666852
10,0.5,iid,fedprox,0.05,50,1,2,0.7786458333333334,0.00390625
10,0.5,iid,fedprox,0.1,50,1,2,0.77734375,0.00390625
10,0.5,iid,fedavgm,0.0,50,1,2,0.76953125,0.0
10,0.5,iid,fedavgm,0.01,50,1,2,0.7701822916666667,0.004557291666666685
10,0.5,iid,fedavgm,0.05,50,1,2,0.7766927083333334,0.009765625
10,0.5,iid,fedavgm,0.1,50,1,2,0.775390625,0.009765625
10,0.5,iid,fedadam,0.0,50,1,2,0.7649739583333334,0.005859375
10,0.5,iid,fedadam,0.01,50,1,2,0.7682291666666667,0.0013020833333333148
10,0.5,iid,fedadam,0.05,50,1,2,0.7493489583333333,0.011067708333333315
10,0.5,iid,fedadam,0.1,50,1,2,0.724609375,0.017578125
10,0.5,0.3,fedavg,0.0,50,1,2,0.7734375,0.0
10,0.5,0.3,fedavg,0.01,50,1,2,0.771484375,0.0032552083333333703
10,0.5,0.3,fedavg,0.05,50,1,2,0.7688802083333334,0.009765625
10,0.5,0.3,fedavg,0.1,50,1,2,0.7571614583333333,0.011067708333333315
10,0.5,0.3,fedprox,0.0,50,1,2,0.7734375,0.0
10,0.5,0.3,fedprox,0.01,50,1,2,0.771484375,0.0032552083333333703
10,0.5,0.3,fedprox,0.05,50,1,2,0.7688802083333334,0.009765625
10,0.5,0.3,fedprox,0.1,50,1,2,0.7571614583333333,0.011067708333333315
10,0.5,0.3,fedavgm,0.0,50,1,2,0.76953125,0.0026041666666666297
10,0.5,0.3,fedavgm,0.01,50,1,2,0.77734375,0.0026041666666666297
10,0.5,0.3,fedavgm,0.05,50,1,2,0.7740885416666666,0.005859375
10,0.5,0.3,fedavgm,0.1,50,1,2,0.767578125,0.00716145833333337
10,0.5,0.3,fedadam,0.0,50,1,2,0.7389322916666667,0.024088541666666685
10,0.5,0.3,fedadam,0.01,50,1,2,0.740234375,0.01236979166666663
10,0.5,0.3,fedadam,0.05,50,1,2,0.7135416666666667,0.005208333333333315
10,0.5,0.3,fedadam,0.1,50,1,2,0.6764322916666667,0.012369791666666685
20,1.0,iid,fedavg,0.0,50,1,2,0.76953125,0.0026041666666666297
20,1.0,iid,fedavg,0.01,50,1,2,0.76953125,0.0
20,1.0,iid,fedavg,0.05,50,1,2,0.7682291666666667,0.002604166666666685
20,1.0,iid,fedavg,0.1,50,1,2,0.7708333333333333,0.0013020833333333148
20,1.0,iid,fedprox,0.0,50,1,2,0.76953125,0.0026041666666666297
20,1.0,iid,fedprox,0.01,50,1,2,0.76953125,0.0
20,1.0,iid,fedprox,0.05,50,1,2,0.7682291666666667,0.002604166666666685
20,1.0,iid,fedprox,0.1,50,1,2,0.7708333333333333,0.0013020833333333148
20,1.0,iid,fedavgm,0.0,50,1,2,0.7708333333333333,0.002604166666666685
20,1.0,iid,fedavgm,0.01,50,1,2,0.7727864583333334,0.001953125
20,1.0,iid,fedavgm,0.05,50,1,2,0.7701822916666667,0.003255208333333315
20,1.0,iid,fedavgm,0.1,50,1,2,0.7701822916666667,0.003255208333333315
20,1.0,iid,fedadam,0.0,50,1,2,0.7786458333333333,0.0013020833333333148
20,1.0,iid,fedadam,0.01,50,1,2,0.7669270833333333,0.006510416666666685
20,1.0,iid,fedadam,0.05,50,1,2,0.7473958333333333,0.002604166666666685
20,1.0,iid,fedadam,0.1,50,1,2,0.7200520833333333,0.016927083333333315
20,1.0,0.3,fedavg,0.0,50,1,2,0.7565104166666666,0.0
20,1.0,0.3,fedavg,0.01,50,1,2,0.7565104166666667,0.0013020833333333148
20,1.0,0.3,fedavg,0.05,50,1,2,0.75390625,0.00520833333333337
20,1.0,0.3,fedavg,0.1,50,1,2,0.7526041666666667,0.005208333333333315
20,1.0,0.3,fedprox,0.0,50,1,2,0.7565104166666666,0.0
20,1.0,0.3,fedprox,0.01,50,1,2,0.7565104166666667,0.0013020833333333148
20,1.0,0.3,fedprox,0.05,50,1,2,0.7545572916666667,0.004557291666666685
20,1.0,0.3,fedprox,0.1,50,1,2,0.7532552083333333,0.004557291666666685
20,1.0,0.3,fedavgm,0.0,50,1,2,0.7513020833333334,0.00390625
20,1.0,0.3,fedavgm,0.01,50,1,2,0.751953125,0.0032552083333333703
20,1.0,0.3,fedavgm,0.05,50,1,2,0.7506510416666667,0.004557291666666685
20,1.0,0.3,fedavgm,0.1,50,1,2,0.7454427083333333,0.003255208333333315
20,1.0,0.3,fedadam,0.0,50,1,2,0.763671875,0.001953125
20,1.0,0.3,fedadam,0.01,50,1,2,0.765625,0.00911458333333337
20,1.0,0.3,fedadam,0.05,50,1,2,0.7311197916666667,0.004557291666666685
20,1.0,0.3,fedadam,0.1,50,1,2,0.69140625,0.0078125
20,0.5,iid,fedavg,0.0,50,1,2,0.767578125,0.0032552083333333703
20,0.5,iid,fedavg,0.01,50,1,2,0.7701822916666667,0.004557291666666685
20,0.5,iid,fedavg,0.05,50,1,2,0.7766927083333333,0.007161458333333315
20,0.5,iid,fedavg,0.1,50,1,2,0.775390625,0.01236979166666663
20,0.5,iid,fedprox,0.0,50,1,2,0.767578125,0.0032552083333333703
20,0.5,iid,fedprox,0.01,50,1,2,0.7701822916666667,0.004557291666666685
20,0.5,iid,fedprox,0.05,50,1,2,0.7766927083333333,0.007161458333333315
20,0.5,iid,fedprox,0.1,50,1,2,0.775390625,0.01236979166666663
20,0.5,iid,fedavgm,0.0,50,1,2,0.767578125,0.00455729166666663
20,0.5,iid,fedavgm,0.01,50,1,2,0.7688802083333333,0.0006510416666666852
20,0.5,iid,fedavgm,0.05,50,1,2,0.7701822916666667,0.007161458333333315
20,0.5,iid,fedavgm,0.1,50,1,2,0.7688802083333333,0.008463541666666685
20,0.5,iid,fedadam,0.0,50,1,2,0.7565104166666667,0.005208333333333315
20,0.5,iid,fedadam,0.01,50,1,2,0.7682291666666667,0.009114583333333315
20,0.5,iid,fedadam,0.05,50,1,2,0.7194010416666667,0.0006510416666666852
20,0.5,iid,fedadam,0.1,50,1,2,0.7252604166666667,0.022135416666666685
20,0.5,0.3,fedavg,0.0,50,1,2,0.7545572916666666,0.001953125
20,0.5,0.3,fedavg,0.01,50,1,2,0.75390625,0.00520833333333337
20,0.5,0.3,fedavg,0.05,50,1,2,0.751953125,0.00455729166666663
20,0.5,0.3,fedavg,0.1,50,1,2,0.7467447916666667,0.004557291666666685
20,0.5,0.3,fedprox,0.0,50,1,2,0.7545572916666666,0.001953125
20,0.5,0.3,fedprox,0.01,50,1,2,0.7532552083333334,0.005859375
20,0.5,0.3,fedprox,0.05,50,1,2,0.751953125,0.00455729166666663
20,0.5,0.3,fedprox,0.1,50,1,2,0.74609375,0.00390625
20,0.5,0.3,fedavgm,0.0,50,1,2,0.7506510416666666,0.001953125
20,0.5,0.3,fedavgm,0.01,50,1,2,0.7532552083333333,0.007161458333333315
20,0.5,0.3,fedavgm,0.05,50,1,2,0.7552083333333334,0.00390625
20,0.5,0.3,fedavgm,0.1,50,1,2,0.7467447916666667,0.007161458333333315
20,0.5,0.3,fedadam,0.0,50,1,2,0.7552083333333334,0.01953125
20,0.5,0.3,fedadam,0.01,50,1,2,0.7682291666666667,0.0013020833333333148
20,0.5,0.3,fedadam,0.05,50,1,2,0.734375,0.01171875
20,0.5,0.3,fedadam,0.1,50,1,2,0.69921875,0.00390625
50,1.0,iid,fedavg,0.0,50,1,2,0.767578125,0.0006510416666666297
50,1.0,iid,fedavg,0.01,50,1,2,0.763671875,0.001953125
50,1.0,iid,fedavg,0.05,50,1,2,0.759765625,0.001953125
50,1.0,iid,fedavg,0.1,50,1,2,0.76171875,0.00520833333333337
50,1.0,iid,fedprox,0.0,50,1,2,0.767578125,0.0006510416666666297
50,1.0,iid,fedprox,0.01,50,1,2,0.763671875,0.001953125
50,1.0,iid,fedprox,0.05,50,1,2,0.759765625,0.001953125
50,1.0,iid,fedprox,0.1,50,1,2,0.76171875,0.00520833333333337
50,1.0,iid,fedavgm,0.0,50,1,2,0.7571614583333333,0.0006510416666666852
50,1.0,iid,fedavgm,0.01,50,1,2,0.7565104166666667,0.002604166666666685
