algo,K,frac,alpha,dp_sigma,acc_mean,acc_std,nrows,ci95_lo,ci95_hi
fedavg,10,0.5,iid,0.05,0.7786458333333334,,1,,
fedprox,10,0.5,iid,0.05,0.7786458333333334,,1,,
fedadam,20,1.0,iid,0.0,0.7786458333333333,,1,,
fedavg,10,0.5,iid,0.1,0.7779947916666667,,1,,
fedprox,10,1.0,iid,0.1,0.77734375,,1,,
fedprox,10,0.5,iid,0.1,0.77734375,,1,,
fedavgm,10,0.5,0.3,0.01,0.77734375,,1,,
fedavg,10,1.0,iid,0.1,0.7766927083333334,,1,,
fedavgm,10,0.5,iid,0.05,0.7766927083333334,,1,,
fedavgm,10,1.0,iid,0.05,0.7766927083333334,,1,,
fedavg,20,0.5,iid,0.05,0.7766927083333333,,1,,
fedprox,20,0.5,iid,0.05,0.7766927083333333,,1,,
fedadam,50,1.0,iid,0.0,0.7766927083333333,,1,,
fedadam,10,1.0,iid,0.0,0.7760416666666667,,1,,
fedadam,10,1.0,iid,0.01,0.775390625,,1,,
fedavg,10,0.5,iid,0.0,0.775390625,,1,,
fedavg,10,1.0,iid,0.01,0.775390625,,1,,
fedavgm,10,1.0,iid,0.1,0.775390625,,1,,
fedavg,20,0.5,iid,0.1,0.775390625,,1,,
fedavgm,10,0.5,iid,0.1,0.775390625,,1,,
fedprox,10,1.0,iid,0.05,0.775390625,,1,,
fedprox,10,1.0,iid,0.01,0.775390625,,1,,
fedprox,20,0.5,iid,0.1,0.775390625,,1,,
fedprox,10,0.5,iid,0.0,0.775390625,,1,,
fedavg,10,1.0,iid,0.05,0.775390625,,1,,
fedadam,50,1.0,iid,0.01,0.7747395833333333,,1,,
fedprox,10,0.5,iid,0.01,0.7740885416666667,,1,,
fedavg,10,0.5,iid,0.01,0.7740885416666667,,1,,
fedavgm,10,0.5,0.3,0.05,0.7740885416666666,,1,,
fedavg,10,0.5,0.3,0.0,0.7734375,,1,,
fedavgm,10,1.0,iid,0.01,0.7734375,,1,,
fedprox,10,0.5,0.3,0.0,0.7734375,,1,,
fedavgm,20,1.0,iid,0.01,0.7727864583333334,,1,,
fedavgm,10,1.0,iid,0.0,0.7727864583333333,,1,,
fedadam,50,0.5,iid,0.0,0.7721354166666667,,1,,
