K,frac,alpha,algo,dp_sigma,rounds,local_epochs,seeds,acc_mean,acc_std
10,0.5,iid,fedprox,0.05,50,1,2,0.7786458333333334,0.00390625
10,0.5,iid,fedavg,0.05,50,1,2,0.7786458333333334,0.00390625
20,1.0,iid,fedadam,0.0,50,1,2,0.7786458333333333,0.0013020833333333
10,0.5,iid,fedavg,0.1,50,1,2,0.7779947916666667,0.0045572916666666
10,0.5,iid,fedprox,0.1,50,1,2,0.77734375,0.00390625
10,0.5,0.3,fedavgm,0.01,50,1,2,0.77734375,0.0026041666666666
10,1.0,iid,fedprox,0.1,50,1,2,0.77734375,0.0013020833333333
10,1.0,iid,fedavgm,0.05,50,1,2,0.7766927083333334,0.001953125
10,0.5,iid,fedavgm,0.05,50,1,2,0.7766927083333334,0.009765625
10,1.0,iid,fedavg,0.1,50,1,2,0.7766927083333334,0.001953125
20,0.5,iid,fedavg,0.05,50,1,2,0.7766927083333333,0.0071614583333333
20,0.5,iid,fedprox,0.05,50,1,2,0.7766927083333333,0.0071614583333333
